Latitude,Longitude,Date,HLS_Tile,HLSL30_020_B01,HLSL30_020_B02,HLSL30_020_B03,HLSL30_020_B04,HLSL30_020_B05,HLSL30_020_B06,HLSL30_020_B07,HLSL30_020_B09,HLSL30_020_B10,HLSL30_020_B11,HLSL30_020_Fmask,HLSL30_020_Fmask_bitmask,HLSL30_020_Fmask_Aerosol_level,HLSL30_020_Fmask_Aerosol_level_Description,HLSL30_020_Fmask_Water,HLSL30_020_Fmask_Water_Description,HLSL30_020_Fmask_Snow/ice,HLSL30_020_Fmask_Snow/ice_Description,HLSL30_020_Fmask_Cloud_shadow,HLSL30_020_Fmask_Cloud_shadow_Description,HLSL30_020_Fmask_Adjacent_to_cloud/shadow,HLSL30_020_Fmask_Adjacent_to_cloud/shadow_Description,HLSL30_020_Fmask_Cloud,HLSL30_020_Fmask_Cloud_Description,"HLSL30_020_Fmask_Cirrus_/_Reserved,_but_not_used","HLSL30_020_Fmask_Cirrus_/_Reserved,_but_not_used_Description"
25.189603,-80.666709,2023-03-08,17RNH,0.0313,0.0399,0.0607,0.0719,0.2105,0.2344,0.128,0.001,27.22,24.69,64.0,0b01000000,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
25.189603,-80.666709,2023-03-24,17RNH,0.0319,0.0407,0.0659,0.0783,0.2363,0.2563,0.1362,0.0011,26.66,24.12,128.0,0b10000000,0b10,Moderate aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
25.189603,-80.666709,2023-04-01,17RNH,0.0314,0.0409,0.0671,0.0794,0.2371,0.2531,0.1349,0.0008,26.46,23.93,128.0,0b10000000,0b10,Moderate aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
25.189603,-80.666709,2023-04-09,17RNH,0.0348,0.0451,0.0726,0.0895,0.2636,0.2955,0.1582,0.0007,26.62,22.94,128.0,0b10000000,0b10,Moderate aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
25.189603,-80.666709,2023-04-17,17RNH,0.0311,0.0501,0.0949,0.1001,0.2524,0.2371,0.1411,0.0031,18.33,16.15,194.0,0b11000010,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b1,Yes,0b0,"Reserved, but not used"
25.189603,-80.666709,2023-04-25,17RNH,0.4024,0.4015,0.427,0.4093,0.4559,0.3569,0.2927,0.027,-8.03,-8.48,130.0,0b10000010,0b10,Moderate aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b1,Yes,0b0,"Reserved, but not used"
25.190651,-80.667683,2023-03-08,17RNH,0.022,0.0301,0.0524,0.055,0.2107,0.1896,0.098,0.0009,26.48,24.19,128.0,0b10000000,0b10,Moderate aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
25.190651,-80.667683,2023-03-24,17RNH,0.0119,0.0234,0.053,0.0561,0.2319,0.2056,0.1048,0.0005,25.97,23.56,192.0,0b11000000,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
25.190651,-80.667683,2023-04-01,17RNH,0.0191,0.0299,0.0566,0.0618,0.2328,0.2062,0.1046,0.0008,25.92,23.48,192.0,0b11000000,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
25.190651,-80.667683,2023-04-09,17RNH,0.0215,0.0312,0.0613,0.0681,0.2619,0.2473,0.1248,0.0006,25.83,22.2,192.0,0b11000000,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
25.190651,-80.667683,2023-04-17,17RNH,0.02,0.0418,0.0873,0.0875,0.2543,0.2011,0.117,0.003,17.85,15.41,194.0,0b11000010,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b1,Yes,0b0,"Reserved, but not used"
25.190651,-80.667683,2023-04-25,17RNH,0.4358,0.4358,0.4465,0.4346,0.4774,0.3671,0.3076,0.0279,-8.22,-8.51,130.0,0b10000010,0b10,Moderate aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b1,Yes,0b0,"Reserved, but not used"
25.190985,-80.674531,2023-03-08,17RNH,0.0044,0.013,0.0394,0.0309,0.2127,0.0904,0.0415,0.0011,25.84,23.61,128.0,0b10000000,0b10,Moderate aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
25.190985,-80.674531,2023-03-24,17RNH,0.0072,0.0149,0.044,0.0342,0.2425,0.1036,0.0469,0.001,25.47,23.24,192.0,0b11000000,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
25.190985,-80.674531,2023-04-01,17RNH,0.0071,0.0172,0.0465,0.0373,0.2406,0.1077,0.049,0.0007,25.32,23.06,192.0,0b11000000,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
25.190985,-80.674531,2023-04-09,17RNH,0.3182,0.3335,0.3493,0.3436,0.4483,0.3598,0.3036,0.0008,18.72,15.87,130.0,0b10000010,0b10,Moderate aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b1,Yes,0b0,"Reserved, but not used"
25.190985,-80.674531,2023-04-17,17RNH,0.0145,0.0197,0.0409,0.0295,0.1427,0.0764,0.0495,0.0026,20.11,18.14,200.0,0b11001000,0b11,High aerosol,0b0,No,0b0,No,0b1,Yes,0b0,No,0b0,No,0b0,"Reserved, but not used"
25.190985,-80.674531,2023-04-25,17RNH,0.3267,0.3265,0.3436,0.3338,0.4005,0.3124,0.2644,0.0263,-6.37,-7.86,130.0,0b10000010,0b10,Moderate aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b1,Yes,0b0,"Reserved, but not used"
25.192516,-80.645674,2023-03-08,17RNH,0.0012,0.0133,0.0456,0.0305,0.2519,0.0815,0.0314,0.001,25.89,23.74,192.0,0b11000000,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
25.192516,-80.645674,2023-03-24,17RNH,0.0005,0.0106,0.0445,0.0284,0.2685,0.0856,0.0324,0.0012,24.77,22.84,192.0,0b11000000,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
25.192516,-80.645674,2023-04-01,17RNH,0.002,0.0119,0.0452,0.0302,0.2691,0.0859,0.0329,0.0007,25.04,22.93,192.0,0b11000000,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
25.192516,-80.645674,2023-04-09,17RNH,0.0044,0.0136,0.0509,0.0347,0.3075,0.1042,0.04,0.001,24.73,21.66,196.0,0b11000100,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b1,Yes,0b0,No,0b0,"Reserved, but not used"
25.192516,-80.645674,2023-04-17,17RNH,-0.007,0.0038,0.021,0.0023,0.0989,0.0385,0.0253,0.0012,21.76,20.23,194.0,0b11000010,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b1,Yes,0b0,"Reserved, but not used"
25.192516,-80.645674,2023-04-25,17RNH,0.621,0.618,0.5979,0.5848,0.5964,0.4463,0.3592,0.0343,-8.8,-9.18,194.0,0b11000010,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b1,Yes,0b0,"Reserved, but not used"
25.192832,-80.6503,2023-03-08,17RNH,0.0004,0.0115,0.0447,0.0286,0.266,0.0846,0.0406,0.0011,25.03,23.04,192.0,0b11000000,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
25.192832,-80.6503,2023-03-24,17RNH,0.0014,0.0098,0.0467,0.0296,0.2778,0.0844,0.0388,0.001,23.52,22.12,192.0,0b11000000,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
25.192832,-80.6503,2023-04-01,17RNH,0.007,0.015,0.0473,0.0302,0.2813,0.0832,0.0385,0.001,24.37,22.54,192.0,0b11000000,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
25.192832,-80.6503,2023-04-09,17RNH,-0.0773,-0.0579,-0.0123,-0.0205,0.0773,0.0156,0.0103,0.0008,23.04,20.05,202.0,0b11001010,0b11,High aerosol,0b0,No,0b0,No,0b1,Yes,0b0,No,0b1,Yes,0b0,"Reserved, but not used"
25.192832,-80.6503,2023-04-17,17RNH,0.0051,0.0136,0.055,0.0324,0.3121,0.0882,0.0405,0.0011,22.97,20.77,196.0,0b11000100,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b1,Yes,0b0,No,0b0,"Reserved, but not used"
25.192832,-80.6503,2023-04-25,17RNH,0.5382,0.5416,0.5193,0.513,0.5425,0.3885,0.3163,0.0223,-8.28,-8.44,194.0,0b11000010,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b1,Yes,0b0,"Reserved, but not used"
25.193006,-80.667246,2023-03-08,17RNH,0.009,0.0181,0.0457,0.0376,0.2232,0.1175,0.0552,0.0006,25.87,23.73,128.0,0b10000000,0b10,Moderate aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
25.193006,-80.667246,2023-03-24,17RNH,0.0131,0.0215,0.051,0.0412,0.2467,0.1292,0.0618,0.0009,25.45,23.33,192.0,0b11000000,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
25.193006,-80.667246,2023-04-01,17RNH,0.0088,0.0194,0.05,0.0432,0.2372,0.1314,0.0627,0.001,25.54,23.3,192.0,0b11000000,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
25.193006,-80.667246,2023-04-09,17RNH,0.0142,0.0246,0.057,0.0494,0.2764,0.1538,0.0718,0.0012,25.49,21.79,192.0,0b11000000,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
25.193006,-80.667246,2023-04-17,17RNH,0.0311,0.0515,0.0983,0.089,0.2786,0.1685,0.1006,0.0037,16.69,15.13,194.0,0b11000010,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b1,Yes,0b0,"Reserved, but not used"
25.193006,-80.667246,2023-04-25,17RNH,0.4845,0.4892,0.4684,0.4645,0.507,0.3667,0.3061,0.0236,-7.83,-8.2,194.0,0b11000010,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b1,Yes,0b0,"Reserved, but not used"
25.193458,-80.678295,2023-03-08,17RNH,0.0086,0.0172,0.0431,0.0347,0.2257,0.1143,0.0532,0.001,25.65,23.45,128.0,0b10000000,0b10,Moderate aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
25.193458,-80.678295,2023-03-24,17RNH,0.0092,0.0176,0.0456,0.0359,0.246,0.1221,0.0562,0.0011,25.31,23.24,192.0,0b11000000,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
25.193458,-80.678295,2023-04-01,17RNH,0.0112,0.0198,0.0499,0.0405,0.2593,0.1335,0.061,0.0008,25.3,23.18,192.0,0b11000000,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
25.193458,-80.678295,2023-04-09,17RNH,0.4477,0.4511,0.4987,0.491,0.5553,0.4685,0.3476,0.0011,14.48,13.36,194.0,0b11000010,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b1,Yes,0b0,"Reserved, but not used"
25.193458,-80.678295,2023-04-17,17RNH,-0.0393,0.0258,0.0978,0.0916,0.2754,0.1688,0.114,0.0038,14.29,12.4,194.0,0b11000010,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b1,Yes,0b0,"Reserved, but not used"
25.193458,-80.678295,2023-04-25,17RNH,0.3762,0.3727,0.3709,0.3661,0.4311,0.3324,0.287,0.0312,-8.2,-8.77,66.0,0b01000010,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b1,Yes,0b0,"Reserved, but not used"
25.194008,-80.677502,2023-03-08,17RNH,0.0066,0.0142,0.0403,0.0282,0.2414,0.0924,0.0403,0.0007,25.62,23.38,128.0,0b10000000,0b10,Moderate aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
25.194008,-80.677502,2023-03-24,17RNH,0.0058,0.013,0.042,0.0281,0.2577,0.0963,0.0413,0.001,25.32,23.03,192.0,0b11000000,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
25.194008,-80.677502,2023-04-01,17RNH,0.005,0.0142,0.0461,0.0322,0.2695,0.1098,0.0462,0.001,25.34,23.14,192.0,0b11000000,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
25.194008,-80.677502,2023-04-09,17RNH,0.582,0.6043,0.5937,0.5944,0.656,0.5167,0.4049,0.0009,15.85,14.19,194.0,0b11000010,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b1,Yes,0b0,"Reserved, but not used"
25.194008,-80.677502,2023-04-17,17RNH,-0.0048,0.0279,0.0933,0.0834,0.2709,0.156,0.1059,0.0043,15.08,12.59,194.0,0b11000010,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b1,Yes,0b0,"Reserved, but not used"
25.194008,-80.677502,2023-04-25,17RNH,0.3794,0.3729,0.3922,0.3825,0.437,0.3522,0.3015,0.0365,-7.97,-8.96,66.0,0b01000010,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b1,Yes,0b0,"Reserved, but not used"
25.195005,-80.650233,2023-03-08,17RNH,0.0041,0.0144,0.0427,0.0286,0.2384,0.0861,0.0333,0.0009,25.66,23.69,128.0,0b10000000,0b10,Moderate aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
25.195005,-80.650233,2023-03-24,17RNH,0.0043,0.0126,0.0434,0.0271,0.2608,0.0876,0.0336,0.0011,24.75,22.85,192.0,0b11000000,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
25.195005,-80.650233,2023-04-01,17RNH,0.0014,0.0115,0.0427,0.0281,0.2619,0.0904,0.0339,0.0005,25.07,23.05,192.0,0b11000000,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
25.195005,-80.650233,2023-04-09,17RNH,0.2369,0.2505,0.2837,0.2682,0.3585,0.2826,0.2455,0.0009,19.41,17.22,194.0,0b11000010,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b1,Yes,0b0,"Reserved, but not used"
