Latitude,Longitude,Date,HLS_Tile,HLSS30_020_B01,HLSS30_020_B02,HLSS30_020_B03,HLSS30_020_B04,HLSS30_020_B05,HLSS30_020_B06,HLSS30_020_B07,HLSS30_020_B08,HLSS30_020_B09,HLSS30_020_B10,HLSS30_020_B11,HLSS30_020_B12,HLSS30_020_B8A,HLSS30_020_Fmask,HLSS30_020_Fmask_bitmask,HLSS30_020_Fmask_Aerosol_level,HLSS30_020_Fmask_Aerosol_level_Description,HLSS30_020_Fmask_Water,HLSS30_020_Fmask_Water_Description,HLSS30_020_Fmask_Snow/ice,HLSS30_020_Fmask_Snow/ice_Description,HLSS30_020_Fmask_Cloud_shadow,HLSS30_020_Fmask_Cloud_shadow_Description,HLSS30_020_Fmask_Adjacent_to_cloud/shadow,HLSS30_020_Fmask_Adjacent_to_cloud/shadow_Description,HLSS30_020_Fmask_Cloud,HLSS30_020_Fmask_Cloud_Description,"HLSS30_020_Fmask_Cirrus_/_Reserved,_but_not_used","HLSS30_020_Fmask_Cirrus_/_Reserved,_but_not_used_Description"
25.190526,-80.656996,2023-03-01,17RNH,0.0061,0.0088,0.0293,0.0167,0.0545,0.1453,0.1761,0.1936,0.0468,0.0007,0.0805,0.0337,0.2077,128.0,0b10000000,0b10,Moderate aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
25.190526,-80.656996,2023-03-06,17RNH,0.0038,0.0075,0.0301,0.017,0.0564,0.1501,0.1849,0.1924,0.0116,0.0009,0.0843,0.0333,0.2135,192.0,0b11000000,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
25.190526,-80.656996,2023-03-11,17RNH,0.0068,0.01,0.0319,0.018,0.0558,0.1551,0.1915,0.2054,0.0096,0.0008,0.0904,0.0377,0.2222,192.0,0b11000000,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
25.190526,-80.656996,2023-03-16,17RNH,0.0035,0.0074,0.0296,0.0179,0.0599,0.147,0.1768,0.191,0.0382,0.0009,0.0798,0.034,0.2032,128.0,0b10000000,0b10,Moderate aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
25.190526,-80.656996,2023-03-21,17RNH,0.2932,0.2697,0.2827,0.2673,0.2891,0.3287,0.3454,0.3513,0.1065,0.0023,0.3261,0.2819,0.3574,66.0,0b01000010,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b1,Yes,0b0,"Reserved, but not used"
25.190526,-80.656996,2023-03-26,17RNH,0.1562,0.1796,0.2053,0.1868,0.2109,0.2739,0.3014,0.2927,0.0412,0.001,0.2271,0.1774,0.3227,130.0,0b10000010,0b10,Moderate aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b1,Yes,0b0,"Reserved, but not used"
25.190526,-80.656996,2023-03-31,17RNH,0.0087,0.0101,0.033,0.019,0.0569,0.1534,0.1944,0.2025,0.0005,0.0007,0.0913,0.0384,0.2225,192.0,0b11000000,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
25.190526,-80.656996,2023-04-05,17RNH,0.0085,0.0091,0.0332,0.0213,0.0631,0.1611,0.196,0.202,0.0099,0.0006,0.099,0.0402,0.2245,192.0,0b11000000,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
25.190526,-80.656996,2023-04-10,17RNH,0.0287,0.0331,0.0787,0.0625,0.0859,0.1564,0.1891,0.1896,-0.0113,0.0085,0.1541,0.1074,0.2136,194.0,0b11000010,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b1,Yes,0b0,"Reserved, but not used"
25.190526,-80.656996,2023-04-15,17RNH,0.0086,0.0089,0.0297,0.0166,0.0553,0.1461,0.1766,0.1828,-0.0076,0.0006,0.0805,0.0316,0.2012,192.0,0b11000000,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
25.190526,-80.656996,2023-04-20,17RNH,0.0068,0.01,0.0316,0.0185,0.0554,0.1424,0.1776,0.185,0.0033,0.0009,0.0794,0.0353,0.1966,192.0,0b11000000,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
25.190526,-80.656996,2023-04-25,17RNH,0.1514,0.1899,0.1834,0.1737,0.1963,0.2376,0.2635,0.2658,0.101,0.0138,0.2276,0.1943,0.2828,194.0,0b11000010,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b1,Yes,0b0,"Reserved, but not used"
25.190526,-80.656996,2023-04-30,17RNH,0.0012,0.0541,0.0755,0.0231,0.0442,0.1322,0.1813,0.19,-0.0276,0.0261,0.0866,0.0426,0.212,194.0,0b11000010,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b1,Yes,0b0,"Reserved, but not used"
25.192798,-80.655441,2023-03-01,17RNH,0.0057,0.0076,0.0272,0.0146,0.0512,0.1356,0.1659,0.1721,0.0425,0.0006,0.067,0.0272,0.1871,128.0,0b10000000,0b10,Moderate aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
25.192798,-80.655441,2023-03-06,17RNH,0.0049,0.0063,0.0275,0.0153,0.0536,0.1415,0.1732,0.1714,0.0098,0.0009,0.0744,0.0273,0.1969,192.0,0b11000000,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
25.192798,-80.655441,2023-03-11,17RNH,0.0067,0.0086,0.0299,0.0172,0.055,0.1486,0.1815,0.1853,0.008,0.0007,0.0784,0.0315,0.2064,192.0,0b11000000,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
25.192798,-80.655441,2023-03-16,17RNH,0.0049,0.0058,0.0275,0.017,0.0574,0.1363,0.1649,0.1652,0.0376,0.0007,0.0713,0.0291,0.1837,128.0,0b10000000,0b10,Moderate aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
25.192798,-80.655441,2023-03-21,17RNH,0.5481,0.4812,0.5104,0.5076,0.5317,0.5571,0.5741,0.5449,0.2235,0.0031,0.5289,0.4668,0.5857,194.0,0b11000010,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b1,Yes,0b0,"Reserved, but not used"
25.192798,-80.655441,2023-03-26,17RNH,0.3899,0.3459,0.3745,0.3695,0.3932,0.4328,0.4551,0.4202,0.1327,0.0012,0.3729,0.2965,0.4721,66.0,0b01000010,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b1,Yes,0b0,"Reserved, but not used"
25.192798,-80.655441,2023-03-31,17RNH,0.0084,0.0089,0.0304,0.0171,0.0565,0.146,0.1788,0.1772,0.0004,0.0006,0.076,0.0312,0.2031,192.0,0b11000000,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
25.192798,-80.655441,2023-04-05,17RNH,0.0091,0.0083,0.0307,0.0194,0.0616,0.1492,0.1763,0.1797,0.008,0.0008,0.0847,0.0335,0.2038,192.0,0b11000000,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
25.192798,-80.655441,2023-04-10,17RNH,0.0442,0.0376,0.0814,0.0734,0.0972,0.1598,0.1906,0.1861,0.01,0.0103,0.1596,0.136,0.2146,194.0,0b11000010,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b1,Yes,0b0,"Reserved, but not used"
25.192798,-80.655441,2023-04-15,17RNH,0.0083,0.0066,0.0275,0.0156,0.053,0.1345,0.1623,0.1601,-0.0039,0.0008,0.0772,0.0299,0.1847,192.0,0b11000000,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
25.192798,-80.655441,2023-04-20,17RNH,0.0089,0.0085,0.0296,0.0169,0.055,0.1358,0.1634,0.1622,0.0057,0.001,0.073,0.031,0.1797,128.0,0b10000000,0b10,Moderate aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
25.192798,-80.655441,2023-04-25,17RNH,0.1934,0.1764,0.2096,0.2113,0.2331,0.2713,0.2938,0.2698,0.1174,0.0179,0.2579,0.2302,0.309,194.0,0b11000010,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b1,Yes,0b0,"Reserved, but not used"
25.192798,-80.655441,2023-04-30,17RNH,0.003,0.0206,0.034,0.0197,0.0528,0.1285,0.1754,0.1646,-0.0196,0.0157,0.0823,0.0432,0.1963,194.0,0b11000010,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b1,Yes,0b0,"Reserved, but not used"
25.193527,-80.650005,2023-03-01,17RNH,0.0069,0.0133,0.0395,0.0209,0.0676,0.1967,0.243,0.2509,0.0858,0.0007,0.1266,0.0538,0.2821,128.0,0b10000000,0b10,Moderate aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
25.193527,-80.650005,2023-03-06,17RNH,0.0079,0.0135,0.0411,0.0228,0.0693,0.1945,0.2378,0.2378,0.0343,0.0007,0.1252,0.0522,0.2767,128.0,0b10000000,0b10,Moderate aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
25.193527,-80.650005,2023-03-11,17RNH,0.0074,0.0159,0.045,0.0266,0.0735,0.2034,0.2527,0.2562,0.0321,0.0007,0.1425,0.0607,0.2941,192.0,0b11000000,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
25.193527,-80.650005,2023-03-16,17RNH,0.0093,0.0151,0.041,0.0275,0.0753,0.1911,0.2291,0.233,0.0735,0.0008,0.1295,0.0589,0.2681,128.0,0b10000000,0b10,Moderate aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
25.193527,-80.650005,2023-03-21,17RNH,0.3307,0.3382,0.3478,0.3295,0.3466,0.376,0.3914,0.3935,0.1117,0.0021,0.3567,0.3145,0.3992,66.0,0b01000010,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b1,Yes,0b0,"Reserved, but not used"
25.193527,-80.650005,2023-03-26,17RNH,-0.0254,-0.0073,0.0361,0.0246,0.0866,0.232,0.2864,0.2775,0.0307,0.0008,0.1657,0.0771,0.3302,194.0,0b11000010,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b1,Yes,0b0,"Reserved, but not used"
25.193527,-80.650005,2023-03-31,17RNH,0.0103,0.0187,0.0473,0.0326,0.077,0.1894,0.2339,0.2326,0.0223,0.0008,0.1499,0.0685,0.2688,192.0,0b11000000,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
25.193527,-80.650005,2023-04-05,17RNH,0.0119,0.0201,0.0483,0.0346,0.0829,0.1891,0.2296,0.2254,0.0305,0.0008,0.1521,0.0704,0.266,128.0,0b10000000,0b10,Moderate aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
25.193527,-80.650005,2023-04-10,17RNH,0.0489,0.0441,0.0891,0.0673,0.0918,0.1539,0.1843,0.1916,0.0077,0.0139,0.1548,0.1223,0.2115,194.0,0b11000010,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b1,Yes,0b0,"Reserved, but not used"
